id,name,scoreO,scoreS,scoreP,rankO,rankS,rankP,rankdeltaO,rankdeltaS,rankdeltaP
1,Aland,,,,,,,,,
2,Albania,,,,,,,,,
3,Algeria,,,,,,,,,
4,Andorra,,,,,,,,,
5,Armenia,,,,,,,,,
6,Austria,2.2,1.9,2.7,19,20,16,6,-4,6
7,Azerbaijan,,,,,,,,,
8,Belarus,,,,,,,,,
9,Belgium,4.0,4.2,3.5,1,3,5,1,4,-2
10,Bosnia and Herzegovina,,,,,,,,,
11,Bulgaria,1.6,1.0,2.6,27,27,13,-1,-10,10
12,Croatia,1.2,0.7,1.9,26,26,10,-5,-17,10
13,Cyprus,0.8,0.8,0.7,17,15,21,-5,7,-11
14,Czech Republic,2.9,3.1,2.6,13,10,23,4,11,-9
15,Denmark,2.2,2.5,1.8,8,6,20,3,20,-12
16,Egypt,,,,,,,,,
17,Estonia,1.2,1.0,1.6,5,9,2,0,-7,13
18,Faroe Islands,,,,,,,,,
19,Finland,2.2,2.3,2.0,9,7,15,0,6,-6
20,France,13.2,16.0,8.7,6,2,26,2,18,-19
21,Georgia,,,,,,,,,
22,Germany,14.6,14.9,14.2,10,8,14,3,2,2
23,Greece,2.8,3.0,2.5,16,11,24,-10,8,-18
24,Guernsey,,,,,,,,,
25,Hungary,2.1,1.6,2.8,25,23,17,-6,-9,2
26,Iceland,,,,,,,,,
27,Iran,,,,,,,,,
28,Iraq,,,,,,,,,
29,Ireland,2.4,3.0,1.5,2,1,25,8,24,-23
30,Isle of Man,,,,,,,,,
31,Israel,,,,,,,,,
32,Italy,8.7,9.0,8.3,20,18,27,0,9,-14
33,Jersey,,,,,,,,,
34,Jordan,,,,,,,,,
35,Kosovo,,,,,,,,,
36,Latvia,1.0,0.8,1.3,18,21,9,6,-16,17
37,Lebanon,,,,,,,,,
38,Libya,,,,,,,,,
39,Liechtenstein,,,,,,,,,
40,Lithuania,1.2,0.8,1.8,22,24,4,0,-21,21
41,Luxembourg,1.1,0.8,1.5,3,12,1,4,-11,20
42,Macedonia,,,,,,,,,
43,Malta,0.7,0.6,0.7,21,19,21,-5,4,-10
44,Moldova,,,,,,,,,
45,Monaco,,,,,,,,,
46,Montenegro,,,,,,,,,
47,Morocco,,,,,,,,,
48,Netherlands,4.6,5.1,3.7,7,5,18,7,13,-6
49,Northern Cyprus,,,,,,,,,
50,Norway,,,,,,,,,
51,Palestine,,,,,,,,,
52,Poland,7.5,6.8,8.5,11,14,8,-10,-10,-4
53,Portugal,2.8,2.6,3.2,15,16,11,0,-5,6
54,Republic of Serbia,,,,,,,,,
55,Romania,3.4,2.0,5.7,23,25,3,0,-17,21
56,Russia,,,,,,,,,
57,San Marino,,,,,,,,,
58,Saudi Arabia,,,,,,,,,
59,Slovakia,1.4,1.2,1.8,24,22,19,3,2,8
60,Slovenia,1.1,1.0,1.3,14,17,6,-10,-5,-5
61,Spain,10.5,10.9,9.8,4,4,7,-1,2,-2
62,Sweden,2.9,2.8,3.2,12,13,12,6,2,6
63,Switzerland,,,,,,,,,
64,Syria,,,,,,,,,
65,Tunisia,,,,,,,,,
66,Turkey,,,,,,,,,
67,Ukraine,,,,,,,,,
68,United Kingdom,,,,,,,,,
69,Vatican,,,,,,,,,