last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
EICKHOUT,Bas,Group of the Greens/European Free Alliance,Netherlands,@BasEickhout,93.87,100,97
CANFIN,Pascal,Renew Europe Group,France,@pcanfin,99.36,88.06,94
NIINISTÖ,Ville,Group of the Greens/European Free Alliance,Finland,@VilleNiinisto,99.38,54.38,77
GUTELAND,Jytte,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,@JytteGuteland,62.09,91.51,77
KARLESKIND,Pierre,Renew Europe Group,France,@Pierre_Ka,86.98,62.86,75
DELLI,Karima,Group of the Greens/European Free Alliance,France,@KarimaDelli,98.58,48.81,74
KATAINEN,Elsi,Renew Europe Group,Finland,@ElsiKatainen,74.31,68.97,72
CUFFE,Ciarán,Group of the Greens/European Free Alliance,Ireland,@CiaranCuffe,92.87,48.81,71
EVI,Eleonora,Non-attached Members,Italy,@EleonoraEvi,86.3,53.05,70
LUENA,César,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@cesarluena,83.46,55.17,69
JADOT,Yannick,Group of the Greens/European Free Alliance,France,@yjadot,98.93,39.52,69
TORVALDS,Nils,Renew Europe Group,Finland,@NilsTorvalds,56.71,80.9,69
KUMPULA-NATRI,Miapetra,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Finland,@miapetrakumpula,89.57,48.01,69
PIETIKÄINEN,Sirpa,Group of the European People's Party (Christian Democrats),Finland,@spietikainen,88.68,48.01,68
LIESE,Peter,Group of the European People's Party (Christian Democrats),Germany,@peterliese,63.51,70.03,67
WÖLKEN,Tiemo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@woelken,89.19,42.71,66
HÄUSLING,Martin,Group of the Greens/European Free Alliance,Germany,@MartinHaeusling,90.16,39.52,65
HOLMGREN,Pär,Group of the Greens/European Free Alliance,Sweden,@ParHolmgren,94.37,33.16,64
VIRKKUNEN,Henna,Group of the European People's Party (Christian Democrats),Finland,@HennaVirkkunen,95.33,31.83,64
RIES,Frédérique,Renew Europe Group,Belgium,@Frederiqueries,74.56,51.99,63
HAZEKAMP,Anja,Group of the European United Left - Nordic Green Left,Netherlands,@anjahazekamp,45.56,79.58,63
PAULUS,Jutta,Group of the Greens/European Free Alliance,Germany,@JuttaPaulusRLP,86.99,37.4,62
WEISS,Pernille,Group of the European People's Party (Christian Democrats),Denmark,@WeissPernille,83.72,40.58,62
AGUILERA,Clara,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@ClaraAguilera7,63.52,60.48,62
TOUSSAINT,Marie,Group of the Greens/European Free Alliance,France,@marietouss1,98.17,23.34,61
BOMPARD,Manuel,Group of the European United Left - Nordic Green Left,France,@mbompard,97.66,23.34,61
WALLACE,Mick,Group of the European United Left - Nordic Green Left,Ireland,@wallacemick,90.11,30.77,60
de LANGE,Esther,Group of the European People's Party (Christian Democrats),Netherlands,@Esther_de_Lange,73.54,46.68,60
GIEGOLD,Sven,Group of the Greens/European Free Alliance,Germany,@sven_giegold,97.67,22.55,60
METZ,Tilly,Group of the Greens/European Free Alliance,Luxembourg,@MetzTilly,58.46,60.74,60
AUBRY,Manon,Group of the European United Left - Nordic Green Left,France,@ManonAubryFr,100,19.1,60
HAUTALA,Heidi,Group of the Greens/European Free Alliance,Finland,@HeidiHautala,87,31.83,59
HOJSÍK,Martin,Renew Europe Group,Slovakia,@mhojsik,72.18,45.89,59
BLOSS,Michael,Group of the Greens/European Free Alliance,Germany,@michabl,96.66,20.42,59
BURKHARDT,Delara,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@delarabur,74.33,42.71,59
KELLY,Seán,Group of the European People's Party (Christian Democrats),Ireland,@SeanKellyMEP,85.13,31.83,58
DE CASTRO,Paolo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@paolodecastro,77.3,39.52,58
RIQUET,Dominique,Renew Europe Group,France,@DominiqueRiquet,68.35,48.01,58
McGUINNESS,Mairead,Group of the European People's Party (Christian Democrats),Ireland,@MaireadMcGMEP,78.05,38.2,58
GONZÁLEZ CASARES,Nicolás,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@nicogoncas,83.06,31.83,57
BUZEK,Jerzy,Group of the European People's Party (Christian Democrats),Poland,@JerzyBuzek,79.54,35.01,57
KELLER,Fabienne,Renew Europe Group,France,@fabienne_keller,84.39,29.97,57
FEDERLEY,Fredrick,Renew Europe Group,Sweden,@federley,63.7,50.13,57
PETERSEN,Morten,Renew Europe Group,Denmark,@mortenhelveg,74.26,39.52,57
FLANAGAN,Luke Ming,Group of the European United Left - Nordic Green Left,Ireland,@lukeming,86.17,27.59,57
LALUCQ,Aurore,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@AuroreLalucq,87.9,25.46,57
LÓPEZ,Javi,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@javilopezEU,77.59,35.01,56
RIVASI,Michèle,Group of the Greens/European Free Alliance,France,@MicheleRivasi,91.67,20.42,56
LINS,Norbert,Group of the European People's Party (Christian Democrats),Germany,@LinsNorbert,50.13,61.54,56
BAUZÁ DÍAZ,José Ramón,Renew Europe Group,Spain,@JRBauza,74.31,37.14,56
LARROUTUROU,Pierre,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@larrouturou,91.28,19.1,55
ANDRESEN,Rasmus,Group of the Greens/European Free Alliance,Germany,@RasmusAndresen,92.65,16.98,55
FUGLSANG,Niels,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Denmark,@NielsFuglsang,74.54,35.01,55
VAN BREMPT,Kathleen,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Belgium,@kvanbrempt,81.94,27.59,55
GARCÍA PÉREZ,Iratxe,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@IratxeGarper,73.95,35.28,55
DURAND,Pascal,Renew Europe Group,France,@PDurandOfficiel,78.09,31.03,55
ZORRINHO,Carlos,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,@czorrinho,69.11,39.52,54
LANGE,Bernd,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@berndlange,74.39,33.95,54
VERHOFSTADT,Guy,Renew Europe Group,Belgium,@GuyVerhofstadt,80.7,27.59,54
MODIG,Silvia,Group of the European United Left - Nordic Green Left,Finland,@silviamodig,73.19,35.01,54
PAPADIMOULIS,Dimitrios,Group of the European United Left - Nordic Green Left,Greece,@papadimoulis,81.25,26.53,54
EVREN,Agnès,Group of the European People's Party (Christian Democrats),France,@AgnesEvren,86.4,21.22,54
CIOLOŞ,Dacian,Renew Europe Group,Romania,@CiolosDacian,86.06,21.49,54
SPUREK,Sylwia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Poland,@SylwiaSpurek,83.83,23.61,54
CARVALHO,Maria da Graça,Group of the European People's Party (Christian Democrats),Portugal,@mgracacarvalho,76.66,30.77,54
LOISEAU,Nathalie,Renew Europe Group,France,@NathalieLoiseau,82.71,24.67,54
SPYRAKI,Maria,Group of the European People's Party (Christian Democrats),Greece,@MariaSpyraki,74.46,32.89,54
ROOSE,Caroline,Group of the Greens/European Free Alliance,France,@CarolineRooseEU,66.5,40.32,53
GÁLVEZ MUÑOZ,Lina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@linagalvezmunoz,71.44,35.01,53
BÜTIKOFER,Reinhard,Group of the Greens/European Free Alliance,Germany,@bueti,89.36,16.98,53
CORMAND,David,Group of the Greens/European Free Alliance,France,@DavidCormand,86.87,19.1,53
CAVAZZINI,Anna,Group of the Greens/European Free Alliance,Germany,@anna_cavazzini,89.04,16.18,53
RODRÍGUEZ-PIÑERO,Inma,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@RodriguezPinero,77.6,27.59,53
GRUDLER,Christophe,Renew Europe Group,France,@GrudlerCh,69.74,35.28,53
MORETTI,Alessandra,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@ale_moretti,59.38,45.62,53
REGO,Sira,Group of the European United Left - Nordic Green Left,Spain,@sirarego,80.29,24.4,52
URBÁN CRESPO,Miguel,Group of the European United Left - Nordic Green Left,Spain,@MiguelUrban,81.34,23.34,52
GUERREIRO,Francisco,Group of the Greens/European Free Alliance,Portugal,@FGuerreiroMEP,70.67,33.95,52
MELCHIOR,Karen,Renew Europe Group,Denmark,@karmel80,89.27,15.12,52
VEDRENNE,Marie-Pierre,Renew Europe Group,France,@MariePierreV,74.33,29.97,52
HUITEMA,Jan,Renew Europe Group,Netherlands,@jhuitema,58.28,45.62,52
VILLUMSEN,Nikolaj,Group of the European United Left - Nordic Green Left,Denmark,@nvillumsen,87.54,14.85,51
BILBAO BARANDICA,Izaskun,Renew Europe Group,Spain,@IzaskunBilbaoB,59.33,42.71,51
Dalunde,Jakop G.,Group of the Greens/European Free Alliance,Sweden,,69.18,32.8,51
AUKEN,Margrete,Group of the Greens/European Free Alliance,Denmark,@MargreteAuken,62.22,39.52,51
CHAIBI,Leila,Group of the European United Left - Nordic Green Left,France,@leilachaibi,87.8,13.79,51
SARVAMAA,Petri,Group of the European People's Party (Christian Democrats),Finland,@petrisarvamaa,70.5,30.77,51
RODRÍGUEZ RAMOS,María Soraya,Renew Europe Group,Spain,@sorayarr_,75.51,25.73,51
O'SULLIVAN,Grace,Group of the Greens/European Free Alliance,Ireland,@GraceOsllvn,52.79,48.01,50
SCHALDEMOSE,Christel,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Denmark,@SchaldemoseMEP,64.62,36.07,50
REINTKE,Terry,Group of the Greens/European Free Alliance,Germany,@TerryReintke,85.4,14.85,50
MARQUES,Pedro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,@PedroMarquesMEP,62.86,37.14,50
TOLLERET,Irène,Renew Europe Group,France,@ITolleret,71.86,27.85,50
BIEDROŃ,Robert,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Poland,@RobertBiedron,83.68,15.92,50
CHASTEL,Olivier,Renew Europe Group,Belgium,@OChastel,67.47,32.1,50
GARCÍA DEL BLANCO,Ibán,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@Ibangarciadb,71.97,27.59,50
TAJANI,Antonio,Group of the European People's Party (Christian Democrats),Italy,@Antonio_Tajani,79.13,20.16,50
SÉJOURNÉ,Stéphane,Renew Europe Group,France,@steph_sejourne,74.21,24.67,49
DE SUTTER,Petra,Group of the Greens/European Free Alliance,Belgium,@pdsutter,82.5,16.18,49
URTASUN,Ernest,Group of the Greens/European Free Alliance,Spain,@ernesturtasun,71.08,27.59,49
DECERLE,Jérémy,Renew Europe Group,France,@JDecerle,61.35,37.14,49
BITEAU,Benoît,Group of the Greens/European Free Alliance,France,@Identi_Terre,79.26,19.1,49
VONDRA,Alexandr,European Conservatives and Reformists Group,Czechia,@AlexandrVondra,51.67,46.68,49
GUILLAUME,Sylvie,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@sylvieguillaume,71.15,26.53,49
BULLMANN,Udo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@UdoBullmann,66.88,30.77,49
SANDER,Anne,Group of the European People's Party (Christian Democrats),France,@ASanderMEP,71.82,24.4,48
TRILLET-LENOIR,Véronique,Renew Europe Group,France,@VTrillet_Lenoir,62.97,33.16,48
CALENDA,Carlo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@CarloCalenda,83.34,12.73,48
KRASNODĘBSKI,Zdzisław,European Conservatives and Reformists Group,Poland,@ZdzKrasnodebski,50.64,45.09,48
KELLER,Ska,Group of the Greens/European Free Alliance,Germany,@SkaKeller,78,17.24,48
GONZÁLEZ,Mónica Silvana,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@MonicaSilvanaG,67.06,27.59,47
OLEKAS,Juozas,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lithuania,@juozas_olekas,51.85,42.44,47
HUHTASAARI,Laura,Identity and Democracy Group,Finland,@LauraHuhtasaari,87.92,6.37,47
GLUCKSMANN,Raphaël,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,@rglucks1,83.49,10.61,47
PEETERS,Kris,Group of the European People's Party (Christian Democrats),Belgium,@peeters_kris1,77.03,16.98,47
CHAHIM,Mohammed,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,@MChahim,54.49,39.52,47
AGUILAR,Mazaly,European Conservatives and Reformists Group,Spain,@MazalyAguilar,71.59,22.28,47
BENTELE,Hildegard,Group of the European People's Party (Christian Democrats),Germany,@hildebentele,68.23,25.46,47
GARICANO,Luis,Renew Europe Group,Spain,@lugaricano,74.45,19.1,47
FARRENG,Laurence,Renew Europe Group,France,@laurencefarreng,62.32,29.97,46
DA RE,Gianantonio,Identity and Democracy Group,Italy,@GianantonioDaRe,82.42,9.55,46
SONNEBORN,Martin,Non-attached Members,Germany,@MartinSonneborn,81.33,10.61,46
HOMS GINEL,Alicia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@aliciahoms,65.38,26.53,46
KOKKALIS,Petros,Group of the European United Left - Nordic Green Left,Greece,@PetrosKokkalis,60.05,31.83,46
CHABAUD,Catherine,Renew Europe Group,France,@CathChabaud,53.3,38.46,46
PEKKARINEN,Mauri,Renew Europe Group,Finland,@PekkarinenMauri,60.66,30.77,46
BRICMONT,Saskia,Group of the Greens/European Free Alliance,Belgium,@bricmontsaskia,76.11,14.85,45
CAÑAS,Jordi,Renew Europe Group,Spain,@jordi_canyas,71.77,19.1,45
ERTUG,Ismail,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@IsmailErtug,51.28,39.52,45
ZOIDO ÁLVAREZ,Juan Ignacio,Group of the European People's Party (Christian Democrats),Spain,@zoidoJI,60.62,29.71,45
HAYER,Valerie,Renew Europe Group,France,@ValerieHayer,66.43,23.61,45
PIEPER,Markus,Group of the European People's Party (Christian Democrats),Germany,@markuspieperMEP,57.81,31.83,45
FITZGERALD,Frances,Group of the European People's Party (Christian Democrats),Ireland,@FitzgeraldFrncs,72.51,16.98,45
VAN OVERTVELDT,Johan,European Conservatives and Reformists Group,Belgium,@jvanovertveldt,71.99,16.98,44
FAJON,Tanja,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Slovenia,@tfajon,66.64,22.28,44
BONAFÈ,Simona,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@simonabonafe,33.35,55.44,44
MAJORINO,Pierfrancesco,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@pfmajorino,65.38,23.34,44
DEPARNAY-GRUNENBERG,Anna,Group of the Greens/European Free Alliance,Germany,@AnnaDeparnay,60.81,27.59,44
ROOS,Robert,European Conservatives and Reformists Group,Netherlands,@Rob_Roos,77.7,10.61,44
BEER,Nicola,Renew Europe Group,Germany,@nicolabeerfdp,72.78,14.85,44
FITTO,Raffaele,European Conservatives and Reformists Group,Italy,@RaffaeleFitto,62.38,24.93,44
TERTSCH,Hermann,European Conservatives and Reformists Group,Spain,@hermanntertsch,80.91,6.37,44
MARINESCU,Marian-Jean,Group of the European People's Party (Christian Democrats),Romania,@MarianMarinescu,43.72,43.5,44
NAGTEGAAL,Caroline,Renew Europe Group,Netherlands,@C_Nagtegaal,59.15,27.59,43
RODRÍGUEZ PALOP,Eugenia,Group of the European United Left - Nordic Green Left,Spain,@MEugeniaRPalop,62.19,24.4,43
PELLETIER,Anne-Sophie,Group of the European United Left - Nordic Green Left,France,@ASPelletier,75.96,10.61,43
SZYDŁO,Beata,European Conservatives and Reformists Group,Poland,@BeataSzydlo,69.55,16.98,43
BORZAN,Biljana,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Croatia,@BiljanaBorzan,57.4,28.91,43
van Dalen,Peter,Group of the European People's Party (Christian Democrats),Netherlands,@petervdalen,46.91,39.26,43
GONZÁLEZ PONS,Esteban,Group of the European People's Party (Christian Democrats),Spain,@gonzalezpons,71.21,14.85,43
MONTSERRAT,Dolors,Group of the European People's Party (Christian Democrats),Spain,@DolorsMM,63.73,22.28,43
KARAS,Othmar,Group of the European People's Party (Christian Democrats),Austria,@othmar_karas,60.54,25.46,43
TANG,Paul,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,@paultang,60.52,25.46,43
OLIVIER,Philippe,Identity and Democracy Group,France,@PhOlivierRN,75.16,10.61,43
PAET,Urmas,Renew Europe Group,Estonia,@Urmaspaet,58.16,27.59,43
BUXADÉ VILLALBA,Jorge,European Conservatives and Reformists Group,Spain,@Jorgebuxade,80.38,5.31,43
MARQUARDT,Erik,Group of the Greens/European Free Alliance,Germany,@ErikMarquardt,74.01,11.67,43
LECHANTEUX,Julie,Identity and Democracy Group,France,@JLechanteux,75.98,9.55,43
MATIAS,Marisa,Group of the European United Left - Nordic Green Left,Portugal,@mmatias_,56.71,28.65,43
EPPINK,Derk Jan,European Conservatives and Reformists Group,Netherlands,@djeppink,76.47,8.49,42
CORRAO,Ignazio,Non-attached Members,Italy,@ignaziocorrao,57.3,27.59,42
SEMSROTT,Nico,Group of the Greens/European Free Alliance,Germany,@nicosemsrott,74.08,10.61,42
KELLEHER,Billy,Renew Europe Group,Ireland,@BillyKelleherEU,59.78,24.4,42
KOUNTOURA,Elena,Group of the European United Left - Nordic Green Left,Greece,@ElenaKountoura,64.01,20.16,42
KYRTSOS,Georgios,Group of the European People's Party (Christian Democrats),Greece,@GiorgosKyrtsos,66.98,16.98,42
COLIN-OESTERLÉ,Nathalie,Group of the European People's Party (Christian Democrats),France,@ncolin_oesterle,60.55,23.34,42
in 't VELD,Sophia,Renew Europe Group,Netherlands,@SophieintVeld,45.4,37.4,41
ZĪLE,Roberts,European Conservatives and Reformists Group,Latvia,@robertszile,52.47,30.24,41
THUN UND HOHENSTEIN,Róża,Group of the European People's Party (Christian Democrats),Poland,@rozathun,71.9,10.61,41
IJABS,Ivars,Renew Europe Group,Latvia,@ijabs,51.43,30.77,41
ZAHRADIL,Jan,European Conservatives and Reformists Group,Czechia,@ZahradilJan,67.14,14.85,41
ŁUKACIJEWSKA,Elżbieta Katarzyna,Group of the European People's Party (Christian Democrats),Poland,@elukacijewska,65,16.98,41
ASIMAKOPOULOU,Anna-Michelle,Group of the European People's Party (Christian Democrats),Greece,@AnnaAsimakopoul,61.17,20.16,41
SARDONE,Silvia,Identity and Democracy Group,Italy,@SardoneSilvia,56.85,24.4,41
AL-SAHLANI,Abir,Renew Europe Group,Sweden,@AbirAlsahlani,66.33,14.85,41
NIEBLER,Angelika,Group of the European People's Party (Christian Democrats),Germany,@ANiebler,48.08,32.89,40
SCHWAB,Andreas,Group of the European People's Party (Christian Democrats),Germany,@Andreas_Schwab,59.51,21.22,40
VAUTMANS,Hilde,Renew Europe Group,Belgium,@hildevautmans,43.54,37.14,40
KARLSBRO,Karin,Renew Europe Group,Sweden,@KarinKarlsbro,64.71,15.92,40
BENIFEI,Brando,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@brandobenifei,41.24,39.26,40
LACAPELLE,Jean-Lin,Identity and Democracy Group,France,@jllacapelle,62.19,18.04,40
MALDONADO LÓPEZ,Adriana,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@_AMaldonado_,57.84,22.28,40
SATOURI,Mounir,Group of the Greens/European Free Alliance,France,@MounirSatouri,60.63,19.1,40
MAUREL,Emmanuel,Group of the European United Left - Nordic Green Left,France,@emmanuelmaurel,64.5,14.85,40
PUIGDEMONT I CASAMAJÓ,Carles,Non-attached Members,Spain,@KRLS,74.02,5.31,40
BRUNET,Sylvie,Renew Europe Group,France,@syl_brunet,50.65,28.65,40
VAIDERE,Inese,Group of the European People's Party (Christian Democrats),Latvia,@IneseVaidere,52.69,26.53,40
MAYDELL,Eva,Group of the European People's Party (Christian Democrats),Bulgaria,@EvaMaydell,55.77,23.34,40
SANT,Alfred,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Malta,@SantAlfred,43.96,35.01,39
VIND,Marianne,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Denmark,@MarianneVind,57.56,21.22,39
KOHUT,Łukasz,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Poland,@LukaszKohut,53.04,25.46,39
BEIGNEUX,Aurelia,Identity and Democracy Group,France,@AureliaBeigneux,64.54,13.79,39
WEBER,Manfred,Group of the European People's Party (Christian Democrats),Germany,@ManfredWeber,55.86,22.28,39
CSEH,Katalin,Renew Europe Group,Hungary,@katka_cseh,55.52,22.55,39
GUSMÃO,José,Group of the European United Left - Nordic Green Left,Portugal,@joseggusmao,67.09,10.61,39
BOESELAGER,Damian,Group of the Greens/European Free Alliance,Germany,@d_boeselager,67,10.61,39
BAY,Nicolas,Identity and Democracy Group,France,@NicolasBay_,67.94,9.55,39
BERLUSCONI,Silvio,Group of the European People's Party (Christian Democrats),Italy,@berlusconi,63.64,13.79,39
BARDELLA,Jordan,Identity and Democracy Group,France,@J_Bardella,75.16,2.12,39
NOVAKOV,Andrey,Group of the European People's Party (Christian Democrats),Bulgaria,@AndreyNovakov,41.08,36.07,39
ARŁUKOWICZ,Bartosz,Group of the European People's Party (Christian Democrats),Poland,@Arlukowicz,60.01,16.98,38
ŞTEFĂNUȚĂ,Nicolae,Renew Europe Group,Romania,@nicustefanuta,41.83,35.01,38
BARLEY,Katarina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@KATARINABARLEY,56.59,20.16,38
ZACHAROPOULOU,Chrysoula,Renew Europe Group,France,@CZacharopoulou,45.65,31.03,38
MUREŞAN,Siegfried,Group of the European People's Party (Christian Democrats),Romania,@SMuresan,47.79,28.65,38
OLBRYCHT,Jan,Group of the European People's Party (Christian Democrats),Poland,@JanOlbrycht,39.29,37.14,38
PEKSA,Mikuláš,Group of the Greens/European Free Alliance,Czechia,@vonpecka,61.32,14.85,38
RUISSEN,Bert-Jan,European Conservatives and Reformists Group,Netherlands,@hjaruissen,55.48,20.16,38
PICIERNO,Pina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@pinapic,39.53,36.07,38
SCHIEDER,Andreas,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,@SCHIEDER,54.14,21.22,38
MAESTRE MARTÍN DE ALMAGRO,Cristina,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@crismaestre,41.31,33.95,38
HÜBNER,Danuta Maria,Group of the European People's Party (Christian Democrats),Poland,@danutahuebner,57.22,18.04,38
MEUTHEN,Jörg,Identity and Democracy Group,Germany,@Joerg_Meuthen,66.7,8.49,38
GAMON,Claudia,Renew Europe Group,Austria,@dieGamon,47.49,27.59,38
MILLER,Leszek,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Poland,@LeszekMiller,60.08,14.85,37
BOGOVIČ,Franc,Group of the European People's Party (Christian Democrats),Slovenia,@Franc_Bogovic,48.18,26.53,37
ZANNI,Marco,Identity and Democracy Group,Italy,@Marcozanni86,61.88,12.73,37
MORANO,Nadine,Group of the European People's Party (Christian Democrats),France,@nadine__morano,61.52,12.73,37
GRUFFAT,Claude,Group of the Greens/European Free Alliance,France,@gruffat_claude,52.96,21.22,37
RINALDI,Antonio Maria,Identity and Democracy Group,Italy,@Rinaldi_euro,64.56,9.55,37
TARCZYŃSKI,Dominik,European Conservatives and Reformists Group,Poland,@D_Tarczynski,52.53,21.22,37
KRAH,Maximilian,Identity and Democracy Group,Germany,@KrahMax,67.27,6.37,37
TOIA,Patrizia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@toiapatrizia,29.98,43.5,37
VOZEMBERG-VRIONIDI,Elissavet,Group of the European People's Party (Christian Democrats),Greece,@vozemberg,49.92,23.34,37
LAMBERTS,Philippe,Group of the Greens/European Free Alliance,Belgium,@ph_lamberts,52.47,20.42,36
WIŚNIEWSKA,Jadwiga,European Conservatives and Reformists Group,Poland,@j_wisniewska,46.3,26.53,36
ADAMOWICZ,Magdalena,Group of the European People's Party (Christian Democrats),Poland,@Adamowicz_Magda,55.6,16.98,36
DANJEAN,Arnaud,Group of the European People's Party (Christian Democrats),France,@ArnaudDanjean,53.34,19.1,36
NEUMANN,Hannah,Group of the Greens/European Free Alliance,Germany,@HNeumannMEP,61.72,10.61,36
LEBRETON,Gilles,Identity and Democracy Group,France,@Gilles_Lebreton,52.81,19.1,36
